 num     #instances         #bytes  class name (module)
 387:           128           2048  java.lang.Character (java.base)
 388:             6           2016  java.util.concurrent.ForkJoinPool (java.base)
 389:            62           1984  jdk.internal.loader.BuiltinClassLoader$LoadedModule (java.base)
 390:            49           1960  java.lang.invoke.DirectMethodHandle$Constructor (java.base)
 391:            60           1920  java.net.InetAddress$InetAddressHolder (java.base)
 392:             5           1904  [Ljava.lang.Integer; (java.base)
 393:           119           1904  org.spec.jbb.util.RangeIntProperty$1
 394:            47           1880  java.lang.invoke.DirectMethodHandle$Accessor (java.base)
 395:            13           1872  [Ljava.lang.invoke.MemberName; (java.base)
 396:            26           1872  org.spec.jbb.core.collections.ConcurrentCreateHashMap
 397:            39           1872  org.spec.jbb.core.threadpools.PoolPerfomanceData
